lotNumber,vendor,name,vendorItemNo,quantity,price,type
2751T,TW,amlodipine 5 mg tablet; 30,Terry White Chemists Amlodipine,30,1,Medication
2751T,AF,amlodipine 5 mg tablet; 30,Nordip,30,1,Medication
2751T,TX,amlodipine 5 mg tablet; 30,APO-Amlodipine,30,1,Medication
2751T,EA,amlodipine 5 mg tablet; 30,Amlodipine AN,30,1,Medication
2751T,IB,amlodipine 5 mg tablet; 30,Blooms the Chemist Amlodipine,30,1,Medication
2751T,PF,amlodipine 5 mg tablet; 30,Norvasc,30,1,Medication
2751T,ED,amlodipine 5 mg tablet; 30,Norvapine,30,1,Medication
2751T,CH,amlodipine 5 mg tablet; 30,Chem mart Amlodipine,30,1,Medication
2751T,DO,amlodipine 5 mg tablet; 30,Auro-Amlodipine 5,30,1,Medication
2751T,RW,amlodipine 5 mg tablet; 30,Amlo 5,30,1,Medication
2751T,GQ,amlodipine 5 mg tablet; 30,Amlodipine GH,30,1,Medication
2751T,CR,amlodipine 5 mg tablet; 30,Pharmacor Amlodipine,30,1,Medication
2751T,SZ,amlodipine 5 mg tablet; 30,Amlodipine Sandoz,30,1,Medication
2751T,RA,amlodipine 5 mg tablet; 30,Ozlodip,30,1,Medication
2752W,RW,amlodipine 10 mg tablet; 30,Amlo 10,30,1.76,Medication
2752W,CH,amlodipine 10 mg tablet; 30,Chem mart Amlodipine,30,1.76,Medication
2752W,ED,amlodipine 10 mg tablet; 30,Norvapine,30,1.76,Medication
2752W,GQ,amlodipine 10 mg tablet; 30,Amlodipine GH,30,1.76,Medication
2752W,AF,amlodipine 10 mg tablet; 30,Nordip,30,1.76,Medication
2752W,TX,amlodipine 10 mg tablet; 30,APO-Amlodipine,30,1.76,Medication
2752W,TW,amlodipine 10 mg tablet; 30,Terry White Chemists Amlodipine,30,1.76,Medication
2752W,CR,amlodipine 10 mg tablet; 30,Pharmacor Amlodipine,30,1.76,Medication
2752W,PF,amlodipine 10 mg tablet; 30,Norvasc,30,1.76,Medication
2752W,SZ,amlodipine 10 mg tablet; 30,Amlodipine Sandoz,30,1.76,Medication
2752W,RA,amlodipine 10 mg tablet; 30,Ozlodip,30,1.76,Medication
2752W,DO,amlodipine 10 mg tablet; 30,Auro-Amlodipine 10,30,1.76,Medication
2752W,EA,amlodipine 10 mg tablet; 30,Amlodipine AN,30,1.76,Medication
2752W,IB,amlodipine 10 mg tablet; 30,Blooms the Chemist Amlodipine,30,1.76,Medication
2753X,BY,dabigatran etexilate 110 mg capsule; 60,Pradaxa,60,71.88,Medication
2755B,MF,tafluprost 0.0015% eye drops; 30 x 0.3 mL unit doses,Saflutan,1,22.16,Medication
2757D,AS,indomethacin 100 mg suppository; 20,Indocid,40,6.5,Medication
2761H,QA,haloperidol 500 microgram tablet; 100,Serenace,100,3.18,Medication
2763K,QA,haloperidol 2 mg/mL oral liquid; 100 mL,Serenace,1,10.78,Medication
2765M,JC,haloperidol (as decanoate) 50 mg/mL injection; 5 x 1 mL vials,Haldol decanoate,5,17.9,Medication
2766N,JC,haloperidol (as decanoate) 150 mg/3 mL injection; 5 x 3 mL ampoules,Haldol decanoate,5,35.88,Medication
2767P,QA,haloperidol 1.5 mg tablet; 100,Serenace,100,3.45,Medication
2768Q,QA,haloperidol 5 mg/mL injection; 10 x 1 mL ampoules,Serenace,10,12.19,Medication
2769R,BY,dabigatran etexilate 150 mg capsule; 60,Pradaxa,60,71.88,Medication
2770T,QA,haloperidol 5 mg tablet; 50,Serenace,50,3.27,Medication
2774B,PF,norethisterone 500 microgram + ethinyloestradiol 35 microgram tablet [21] (&) inert substance tablet [7]; 4 x 28,Brevinor,4,8.12,Medication
2774B,FZ,norethisterone 500 microgram + ethinyloestradiol 35 microgram tablet [21] (&) inert substance tablet [7]; 4 x 28,Norimin 28 Day,4,8.12,Medication
2775C,PF,norethisterone 1 mg + ethinyloestradiol 35 microgram tablet [21] (&) inert substance tablet [7]; 4 x 28,Brevinor-1,4,8.12,Medication
2775C,FZ,norethisterone 1 mg + ethinyloestradiol 35 microgram tablet [21] (&) inert substance tablet [7]; 4 x 28,Norimin-1 28 Day,4,8.12,Medication
2781J,SW,framycetin sulfate 0.5% + gramicidin 0.005% + dexamethasone 0.05% ear drops; 8 mL,Sofradex,1,2.85,Medication
2781J,AV,framycetin sulfate 0.5% + gramicidin 0.005% + dexamethasone 0.05% ear drops; 8 mL,Otodex,1,2.85,Medication
2784M,FP,degarelix 80 mg injection [1 vial] (&) inert substance diluent [1 syringe]; 1 pack,Firmagon 80mg,1,349.7,Medication
2785N,FP,degarelix 120 mg injection [2 vials] (&) inert substance diluent [2 syringes]; 1 pack,Firmagon 120mg,1,366.05,Medication
2791X,AL,trandolapril 500 microgram capsule; 28,Gopten,28,1.39,Medication
2791X,AF,trandolapril 500 microgram capsule; 28,Tranalpha,28,1.39,Medication
2791X,RW,trandolapril 500 microgram capsule; 28,Dolapril 0.5,28,1.39,Medication
2792Y,AF,trandolapril 1 mg capsule; 28,Tranalpha,28,3.69,Medication
2792Y,RW,trandolapril 1 mg capsule; 28,Dolapril 1,28,3.69,Medication
2792Y,AL,trandolapril 1 mg capsule; 28,Gopten,28,3.69,Medication
2793B,AL,trandolapril 2 mg capsule; 28,Gopten,28,4.45,Medication
2793B,AF,trandolapril 2 mg capsule; 28,Tranalpha,28,4.45,Medication
2793B,RW,trandolapril 2 mg capsule; 28,Dolapril 2,28,4.45,Medication
2804N,SZ,terbinafine 250 mg tablet; 42,Terbinafine Sandoz,42,22.12,Medication
2804N,GQ,terbinafine 250 mg tablet; 42,Terbinafine GH,42,22.12,Medication
2804N,EA,terbinafine 250 mg tablet; 42,Terbinafine AN,42,22.12,Medication
2804N,NV,terbinafine 250 mg tablet; 42,Lamisil (Novartis Pharmaceuticals Australia Pty Limited),42,22.12,Medication
2804N,AF,terbinafine 250 mg tablet; 42,Tinasil,42,22.12,Medication
2804N,RW,terbinafine 250 mg tablet; 42,Tamsil,42,22.12,Medication
2804N,RZ,terbinafine 250 mg tablet; 42,Terbinafine-DRLA,42,22.12,Medication
2804N,GX,terbinafine 250 mg tablet; 42,GenRx Terbinafine,42,22.12,Medication
2804N,RA,terbinafine 250 mg tablet; 42,Sebifin 250,42,22.12,Medication
2805P,AS,iron (as polymaltose) 100 mg/2 mL injection; 5 x 2 mL ampoules,Ferrum H,5,11.72,Medication
2805P,SI,iron (as polymaltose) 100 mg/2 mL injection; 5 x 2 mL ampoules,Ferrosig,5,11.72,Medication
2806Q,SB,amino acid formula with vitamins and minerals without phenylalanine oral semi-solid; 36 x 109 g jars,PKU Lophlex Sensation 20,3,540.36,Medication
2811Y,AQ,betaxolol 0.25% eye drops; 5 mL,Betoptic S,1,6.75,Medication
2812B,QA,betamethasone (as valerate) 0.02% cream; 100 g,Betnovate 1/5,2,7.2,Medication
2812B,MK,betamethasone (as valerate) 0.02% cream; 100 g,Celestone-M,2,7.2,Medication
2812B,FM,betamethasone (as valerate) 0.02% cream; 100 g,Cortival 1/5,2,7.2,Medication
2812B,FR,betamethasone (as valerate) 0.02% cream; 100 g,Antroquoril,2,7.2,Medication
2813C,QA,betamethasone (as valerate) 0.05% cream; 15 g,Betnovate 1/2,1,1.61,Medication
2813C,FM,betamethasone (as valerate) 0.05% cream; 15 g,Cortival 1/2,1,1.61,Medication
2816F,PF,dalteparin sodium 5000 anti-Xa units/0.2 mL injection; 10 x 0.2 mL syringes,Fragmin,20,41.14,Medication
2817G,AP,terbutaline sulfate 500 microgram/actuation powder for inhalation; 100 actuations,Bricanyl Turbuhaler,2,4.39,Medication
2818H,NV,everolimus 2.5 mg tablet; 30,Afinitor,30,1282.5,Medication
2819J,NV,everolimus 5 mg tablet; 30,Afinitor,30,2565,Medication
2824P,PF,gentamicin 80 mg/2 mL injection; 10 x 2 mL ampoules,Pfizer Australia Pty Ltd,10,10.71,Medication
2825Q,AQ,betaxolol 0.5% eye drops; 5 mL,Betoptic,1,6.75,Medication
2825Q,IQ,betaxolol 0.5% eye drops; 5 mL,BetoQuin,1,6.75,Medication
2827T,MF,fluticasone propionate 50 microgram/actuation + eformoterol fumarate dihydrate 5 microgram/actuation pressurised inhalation; 120 actuations,flutiform 50/5,1,28.21,Medication
2832C,LM,tetracosactrin 1 mg/mL modified release injection; 1 mL ampoule,Synacthen Depot 1 mg/1 mL,5,10.42,Medication
2833D,TW,pravastatin sodium 10 mg tablet; 30,Terry White Chemists Pravastatin,30,1.72,Medication
2833D,CH,pravastatin sodium 10 mg tablet; 30,Chem mart Pravastatin,30,1.72,Medication
2833D,EA,pravastatin sodium 10 mg tablet; 30,Pravastatin AN,30,1.72,Medication
2833D,SZ,pravastatin sodium 10 mg tablet; 30,Pravastatin Sandoz,30,1.72,Medication
2833D,DO,pravastatin sodium 10 mg tablet; 30,Auro-Pravastatin 10,30,1.72,Medication
2833D,TX,pravastatin sodium 10 mg tablet; 30,APO-Pravastatin,30,1.72,Medication
2833D,RF,pravastatin sodium 10 mg tablet; 30,Lipostat 10,30,1.72,Medication
2833D,GQ,pravastatin sodium 10 mg tablet; 30,Pravastatin generichealth,30,1.72,Medication
2833D,AF,pravastatin sodium 10 mg tablet; 30,Cholstat 10,30,1.72,Medication
2833D,RW,pravastatin sodium 10 mg tablet; 30,Pravachol,30,1.72,Medication
2834E,CH,pravastatin sodium 20 mg tablet; 30,Chem mart Pravastatin,30,2.73,Medication
2834E,TW,pravastatin sodium 20 mg tablet; 30,Terry White Chemists Pravastatin,30,2.73,Medication
2834E,SZ,pravastatin sodium 20 mg tablet; 30,Pravastatin Sandoz,30,2.73,Medication
2834E,GQ,pravastatin sodium 20 mg tablet; 30,Pravastatin generichealth,30,2.73,Medication
2834E,TX,pravastatin sodium 20 mg tablet; 30,APO-Pravastatin,30,2.73,Medication
2834E,DO,pravastatin sodium 20 mg tablet; 30,Auro-Pravastatin 20,30,2.73,Medication
2834E,EA,pravastatin sodium 20 mg tablet; 30,Pravastatin AN,30,2.73,Medication
2834E,AF,pravastatin sodium 20 mg tablet; 30,Cholstat 20,30,2.73,Medication
2834E,RF,pravastatin sodium 20 mg tablet; 30,Lipostat 20,30,2.73,Medication
2834E,RA,pravastatin sodium 20 mg tablet; 30,Cholvastin,30,2.73,Medication
2834E,RW,pravastatin sodium 20 mg tablet; 30,Pravachol,30,2.73,Medication
2836G,MK,olmesartan medoxomil 40 mg + amlodipine 10 mg + hydrochlorothiazide 12.5 mg tablet; 30,Sevikar HCT 40/10/12.5,30,19.23,Medication
2837H,PF,sunitinib 50 mg capsule; 28,Sutent,28,6413.53,Medication
2838J,AL,penicillamine 250 mg tablet; 100,D-Penamine,100,37.44,Medication
2839K,YN,morphine Capsule 20 mg (containing sustained release pellets); 28,Kapanol,28,12.84,Medication
2840L,YN,morphine Capsule 50 mg (containing sustained release pellets); 28,Kapanol,28,27.64,Medication
2841M,YN,morphine Capsule 100 mg (containing sustained release pellets); 28,Kapanol,28,51.86,Medication
2842N,PF,sunitinib 25 mg capsule; 28,Sutent,28,3206.63,Medication
2843P,QA,warfarin sodium 1 mg tablet; 50,Coumadin,50,4.61,Medication
2843P,FM,warfarin sodium 1 mg tablet; 50,Marevan,50,4.61,Medication
2844Q,FM,warfarin sodium 3 mg tablet; 50,Marevan,50,4.82,Medication
2845R,RW,perindopril arginine 5 mg + indapamide hemihydrate 1.25 mg tablet; 30,Prexum Combi 5/1.25,30,4.1,Medication
2845R,SE,perindopril arginine 5 mg + indapamide hemihydrate 1.25 mg tablet; 30,Coversyl Plus 5mg/1.25mg,30,4.1,Medication
2846T,NV,dabrafenib 75 mg capsule; 120,Tafinlar,120,8612.17,Medication
2848X,RA,lamotrigine 25 mg tablet; 56,Lamidus,56,6.38,Medication
2848X,AS,lamotrigine 25 mg tablet; 56,Lamictal,56,6.38,Medication
2848X,SZ,lamotrigine 25 mg tablet; 56,Lamotrigine Sandoz,56,6.38,Medication
2848X,TX,lamotrigine 25 mg tablet; 56,APO-Lamotrigine,56,6.38,Medication
2848X,AL,lamotrigine 25 mg tablet; 56,Logem,56,6.38,Medication
2848X,RF,lamotrigine 25 mg tablet; 56,LAMITAN,56,6.38,Medication
2848X,DO,lamotrigine 25 mg tablet; 56,Reedos 25,56,6.38,Medication
2848X,EA,lamotrigine 25 mg tablet; 56,Lamotrigine AN,56,6.38,Medication
2848X,GQ,lamotrigine 25 mg tablet; 56,Lamotrigine GH,56,6.38,Medication
2848X,RW,lamotrigine 25 mg tablet; 56,Lamotrigine Aspen 25,56,6.38,Medication
2849Y,AS,lamotrigine 50 mg tablet; 56,Lamictal,56,10.64,Medication
2849Y,AL,lamotrigine 50 mg tablet; 56,Logem,56,10.64,Medication
2849Y,RF,lamotrigine 50 mg tablet; 56,LAMITAN,56,10.64,Medication
2849Y,DO,lamotrigine 50 mg tablet; 56,Reedos 50,56,10.64,Medication
2849Y,SZ,lamotrigine 50 mg tablet; 56,Lamotrigine Sandoz,56,10.64,Medication
2849Y,TX,lamotrigine 50 mg tablet; 56,APO-Lamotrigine,56,10.64,Medication
2849Y,RA,lamotrigine 50 mg tablet; 56,Lamidus,56,10.64,Medication
2849Y,GQ,lamotrigine 50 mg tablet; 56,Lamotrigine GH,56,10.64,Medication
2849Y,RW,lamotrigine 50 mg tablet; 56,Lamotrigine Aspen 50,56,10.64,Medication
2849Y,EA,lamotrigine 50 mg tablet; 56,Lamotrigine AN,56,10.64,Medication
2850B,RA,lamotrigine 100 mg tablet; 56,Lamidus,56,17.71,Medication
2850B,GQ,lamotrigine 100 mg tablet; 56,Lamotrigine GH,56,17.71,Medication
2850B,EA,lamotrigine 100 mg tablet; 56,Lamotrigine AN,56,17.71,Medication
2850B,AS,lamotrigine 100 mg tablet; 56,Lamictal,56,17.71,Medication
2850B,RF,lamotrigine 100 mg tablet; 56,LAMITAN,56,17.71,Medication
2850B,AL,lamotrigine 100 mg tablet; 56,Logem,56,17.71,Medication
2850B,SZ,lamotrigine 100 mg tablet; 56,Lamotrigine Sandoz,56,17.71,Medication
2850B,TX,lamotrigine 100 mg tablet; 56,APO-Lamotrigine,56,17.71,Medication
2850B,DO,lamotrigine 100 mg tablet; 56,Reedos 100,56,17.71,Medication
2850B,RW,lamotrigine 100 mg tablet; 56,Lamotrigine Aspen 100,56,17.71,Medication
2851C,AS,lamotrigine 200 mg tablet; 56,Lamictal,56,29.77,Medication
2851C,RW,lamotrigine 200 mg tablet; 56,Lamotrigine Aspen 200,56,29.77,Medication
2851C,AL,lamotrigine 200 mg tablet; 56,Logem,56,29.77,Medication
2851C,GQ,lamotrigine 200 mg tablet; 56,Lamotrigine GH,56,29.77,Medication
2851C,SZ,lamotrigine 200 mg tablet; 56,Lamotrigine Sandoz,56,29.77,Medication
2851C,TX,lamotrigine 200 mg tablet; 56,APO-Lamotrigine,56,29.77,Medication
2851C,RF,lamotrigine 200 mg tablet; 56,LAMITAN,56,29.77,Medication
2851C,RA,lamotrigine 200 mg tablet; 56,Lamidus,56,29.77,Medication
2851C,DO,lamotrigine 200 mg tablet; 56,Reedos 200,56,29.77,Medication
2851C,EA,lamotrigine 200 mg tablet; 56,Lamotrigine AN,56,29.77,Medication
2856H,LM,phenelzine 15 mg tablet; 100,Nardil,100,75.24,Medication
2857J,AF,trandolapril 4 mg + verapamil hydrochloride 240 mg modified release tablet; 28,Tarka 4/240,28,15.34,Medication
2863Q,NV,fluvastatin 80 mg modified release tablet; 28,Lescol XL,28,32.09,Medication
2864R,MK,olmesartan medoxomil 40 mg + amlodipine 5 mg + hydrochlorothiazide 25 mg tablet; 30,Sevikar HCT 40/5/25,30,20.18,Medication
2868Y,MK,ivermectin 3 mg tablet; 4,Stromectol,8,19.12,Medication
2870C,VF,whey protein formula supplemented with amino acids; long chain polyunsaturated fatty acids; vitamins and minerals; low in protein; phosphate; potassium and lactose oral liquid: powder for; 6 x 400 g cans,Renastart,4,343.71,Medication
2876J,AS,lignocaine hydrochloride anhydrous 500 mg/5 mL injection; 10 x 5 mL ampoules,Xylocard 500,10,17.8,Medication
2878L,EA,sodium cromoglycate 20 mg powder for inhalation; 100 capsules,Intal Spincaps,100,20.21,Medication
2880N,MK,olmesartan medoxomil 40 mg + amlodipine 5 mg + hydrochlorothiazide 12.5 mg tablet; 30,Sevikar HCT 40/5/12.5,30,18.47,Medication
2881P,FM,hydrocortisone acetate 1% cream; 50 g,Cortic-DS 1%,1,1.73,Medication
2881P,QA,hydrocortisone acetate 1% cream; 50 g,Sigmacort,1,1.73,Medication
2882Q,FM,hydrocortisone acetate 1% ointment; 50 g,Cortic-DS 1%,1,1.73,Medication
2882Q,QA,hydrocortisone acetate 1% ointment; 50 g,Sigmacort,1,1.73,Medication
2883R,DE,vespula spp venom 550 microgram injection [1 vial] (&) inert substance diluent [9 mL vial] (&) inert substance diluent [3 x 1.8 mL vials]; 1 pack,Albey Yellow Jacket Venom,1,233.39,Medication
2886X,DE,bee venom 550 microgram injection [1 vial] (&) inert substance diluent [9 mL vial] (&) inert substance diluent [3 x 1.8 mL vials]; 1 pack,Albey Bee Venom,1,233.39,Medication
2893G,TX,prochlorperazine maleate 5 mg tablet; 25,APO-Prochlorperazine,25,1.01,Medication
2893G,GQ,prochlorperazine maleate 5 mg tablet; 25,Prochlorperazine GH,25,1.01,Medication
2893G,AV,prochlorperazine maleate 5 mg tablet; 25,Stemzine,25,1.01,Medication
2893G,EA,prochlorperazine maleate 5 mg tablet; 25,Prochlorperazine AN,25,1.01,Medication
2893G,RW,prochlorperazine maleate 5 mg tablet; 25,ProCalm,25,1.01,Medication
2893G,SW,prochlorperazine maleate 5 mg tablet; 25,Stemetil,25,1.01,Medication
2893G,ED,prochlorperazine maleate 5 mg tablet; 25,Prochlorperazine-GA,25,1.01,Medication
2896K,BD,dimethyl fumarate 120 mg enteric capsule; 14,Tecfidera,14,433.32,Medication
2898M,GZ,teriflunomide 14 mg tablet; 28,Aubagio,28,1700.56,Medication
2899N,AF,propranolol hydrochloride 160 mg tablet; 50,Deralin 160,50,6.25,Medication
2900P,NT,amino acid synthetic formula supplemented with long chain polyunsaturated fatty acids and medium chain triglycerides powder for oral liquid; 400 g,Alfamino,8,37.93,Medication
2913H,BN,levonorgestrel 30 microgram tablet; 112 tablets [4 x 28],Microlut 28,4,8.38,Medication
2918N,DE,paper wasp venom 550 microgram injection [1 vial] (&) inert substance diluent [9 mL vial] (&) inert substance diluent [3 x 1.8 mL vials]; 1 pack,Albey Paper Wasp Venom,1,233.39,Medication
2922T,AF,trimethoprim 300 mg tablet; 7,Alprim,7,1.58,Medication
2922T,RW,trimethoprim 300 mg tablet; 7,Triprim,7,1.58,Medication
2923W,SW,disopyramide 100 mg capsule; 100,Rythmodan,100,17.45,Medication
2928D,NT,amino acid synthetic formula supplemented with long chain polyunsaturated fatty acids and medium chain triglycerides powder for oral liquid; 400 g,Alfamino,8,37.93,Medication
2931G,QA,amphotericin B 10 mg lozenge; 20,Fungilin,20,4.31,Medication
2933J,TK,alogliptin 12.5 mg tablet; 28,Nesina,28,44.34,Medication
2939Q,SW,glibenclamide 5 mg tablet; 100,Daonil,100,4.02,Medication
2939Q,AF,glibenclamide 5 mg tablet; 100,Glimel,100,4.02,Medication
2943X,BD,dimethyl fumarate 120 mg enteric capsule; 14,Tecfidera,14,433.32,Medication
2944Y,TK,alogliptin 6.25 mg tablet; 28,Nesina,28,44.34,Medication
2946C,PL,phosphorus 500 mg effervescent tablet; 100,Phosphate Sandoz,100,60.41,Medication
2951H,RO,trimethoprim 160 mg + sulfamethoxazole 800 mg tablet; 10,Bactrim DS,10,2.28,Medication
2951H,AF,trimethoprim 160 mg + sulfamethoxazole 800 mg tablet; 10,Resprim Forte,10,2.28,Medication
2951H,RW,trimethoprim 160 mg + sulfamethoxazole 800 mg tablet; 10,Septrin Forte,10,2.28,Medication
2953K,MK,olmesartan medoxomil 40 mg + amlodipine 10 mg + hydrochlorothiazide 25 mg tablet; 30,Sevikar HCT 40/10/25,30,20.94,Medication
2954L,NV,dabrafenib 50 mg capsule; 120,Tafinlar,120,5741.45,Medication
2956N,QA,HYPROMELLOSE Eye drops 5 mg per mL (0.5%); 15 mL; 1,Methopt,1,3.12,Medication
2958Q,AF,folic acid 500 microgram tablet; 100,Megafol 0.5,200,1.89,Medication
2958Q,PP,folic acid 500 microgram tablet; 100,Foltabs 500,200,1.89,Medication
2959R,PF,sunitinib 25 mg capsule; 28,Sutent,28,3206.63,Medication
2960T,SE,ivabradine 7.5 mg tablet; 56,Coralan,56,42,Medication
2961W,AF,oxprenolol hydrochloride 40 mg tablet; 100,Corbeton 40,100,32.97,Medication
2962X,PF,nafarelin 200 microgram/actuation nasal spray; 60 actuations,Synarel,1,106,Medication
2963Y,NV,dabrafenib 50 mg capsule; 120,Tafinlar,120,5741.45,Medication
2964B,PF,cephalothin 1 g injection; 10 vials,Hospira Pty Limited,10,13.46,Medication
2965C,FM,phenoxymethylpenicillin 500 mg capsule; 50,Cilicaine VK,50,5.7,Medication
2965C,IA,phenoxymethylpenicillin 500 mg capsule; 50,LPV,50,5.7,Medication
2966D,BD,dimethyl fumarate 240 mg enteric capsule; 56,Tecfidera,56,1733.3,Medication
2967E,QA,cholestyramine 4 g powder for oral liquid; 50 sachets,Questran Lite,2,26.32,Medication
2971J,QA,triamcinolone acetonide 0.1% + neomycin sulfate 0.25% + gramicidin 0.025% + nystatin 100 000 international units/mL ear drops; 7.5 mL,Kenacomb Otic,1,3.78,Medication
2971J,FM,triamcinolone acetonide 0.1% + neomycin sulfate 0.25% + gramicidin 0.025% + nystatin 100 000 international units/mL ear drops; 7.5 mL,Otocomb Otic,1,3.78,Medication
2974M,QA,triamcinolone acetonide 0.1% + neomycin sulfate 0.25% + gramicidin 0.025% + nystatin 100 000 international units/g ointment; 5 g,Kenacomb Otic,1,1.42,Medication
2974M,FM,triamcinolone acetonide 0.1% + neomycin sulfate 0.25% + gramicidin 0.025% + nystatin 100 000 international units/g ointment; 5 g,Otocomb Otic,1,1.42,Medication
2975N,NU,milk powder lactose free formula predigested powder for oral liquid; 900 g,Aptamil Gold+ De-Lact,5,14.3,Medication
2977Q,AL,ampicillin 1 g injection; 5 vials,Austrapen,5,5.71,Medication
2977Q,AF,ampicillin 1 g injection; 5 vials,Ampicyn,5,5.71,Medication
2981X,PF,methylprednisolone 40 mg injection [5 vials] (&) inert substance diluent [5 x 1 mL vials]; 1 pack,Solu-Medrol,5,12.97,Medication
2982Y,QA,griseofulvin 500 mg tablet; 28,Grisovin 500,28,15.81,Medication
2985D,NV,everolimus 10 mg tablet; 30,Afinitor,30,5130,Medication
2986E,TK,alogliptin 25 mg tablet; 28,Nesina,28,44.34,Medication
2989H,NU,milk powder lactose free formula predigested powder for oral liquid; 900 g,Aptamil Gold+ De-Lact,5,14.3,Medication
2990J,QA,triamcinolone acetonide 10 mg/mL injection; 5 x 1 mL ampoules,Kenacort-A10,5,15.03,Medication
2993M,BN,norethisterone 5 mg tablet; 30,Primolut N,30,20.66,Medication
2997R,NV,salcatonin 100 units/mL injection; 5 x 1 mL ampoules,Miacalcic 100,15,41.42,Medication
3010K,AF,norfloxacin 400 mg tablet; 14,Nufloxib,14,3.33,Medication
3010K,SZ,norfloxacin 400 mg tablet; 14,Norfloxacin Sandoz,14,3.33,Medication
3010K,GX,norfloxacin 400 mg tablet; 14,GenRx Norfloxacin,14,3.33,Medication
3010K,RW,norfloxacin 400 mg tablet; 14,Roxin,14,3.33,Medication
3012M,AS,potassium chloride 595 mg + potassium bicarbonate 384 mg + potassium carbonate 152 mg effervescent tablet; 60,Chlorvescent,60,7.05,Medication
3016R,NV,amantadine hydrochloride 100 mg capsule; 100,Symmetrel 100,100,29.5,Medication
3028J,QA,phenoxymethylpenicillin 500 mg tablet; 25,Aspecillin VK,50,2.93,Medication
3038X,FK,benzatropine mesilate 2 mg/2 mL injection; 5 x 2 mL ampoules,Cogentin,5,78.05,Medication
3047J,AF,pyrantel 125 mg tablet; 6,Anthel 125,6,6.28,Medication
3048K,AF,pyrantel 250 mg tablet; 6,Anthel 250,6,12.57,Medication
3050M,TX,perindopril erbumine 2 mg tablet; 30,APO-Perindopril,30,1.7,Medication
